target_id	length	eff_length	est_counts	tpm
NM_001168316	2283	2105.9	160.606	12581
NM_174914	2385	2207.9	1500.72	112128
NR_031764	1853	1675.9	102.671	10106.2
NM_004503	1681	1503.9	331.118	36320.7
NM_006897	1541	1363.9	664	80311.3
NM_014212	2037	1859.9	55	4878.25
NM_014620	2300	2122.9	591.166	45937.9
NM_017409	1959	1781.9	47	4351.17
NM_017410	2396	2218.9	42	3122.5
NM_018953	1612	1434.9	227.999	26212.1
NM_022658	2288	2110.9	4881	381446
NM_153633	1666	1488.9	361.044	40002.4
NM_153693	2072	1894.9	73.6719	6413.67
NM_173860	849	671.903	962	236189
NR_003084	1640	1462.9	0.00164208	0.18517
